         30819661 function calls (30815093 primitive calls) in 57.762 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 core.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 key.py:36(<module>)
      131    0.000    0.000    0.000    0.000 posixpath.py:71(join)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
     1100    0.000    0.000    0.000    0.000 genetic_algo.py:46(getFitness)
       12    0.000    0.000    0.000    0.000 {method 'in_dll' of '_ctypes.PyCSimpleType' objects}
        6    0.000    0.000    0.001    0.000 getlimits.py:35(__init__)
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
      255    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
     1196    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      345    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       38    0.000    0.000    0.008    0.000 sre_compile.py:759(compile)
        1    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
      769    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
      517    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       78    0.000    0.000    0.001    0.000 runtime.py:742(get_prototype)
    32/28    0.000    0.000    0.008    0.000 runtime.py:1137(objc_method)
        1    0.000    0.000    0.002    0.002 glu.py:36(<module>)
      616    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
        1    0.000    0.000    0.000    0.000 {built-in method posix.replace}
      192    0.000    0.000    0.000    0.000 __init__.py:1126(_get_internalformat)
     1013    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       32    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      575    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
     1100    0.000    0.000    0.000    0.000 genetic_algo.py:57(get_child_genes)
        1    0.000    0.000    0.001    0.001 runtime.py:32(<module>)
      201    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1082(path_stats)
       26    0.000    0.000    0.001    0.000 __init__.py:404(get_size)
      168    0.000    0.000    0.000    0.000 clock.py:416(taken)
        1    0.000    0.000    0.007    0.007 numeric.py:1(<module>)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      274    0.000    0.000    0.000    0.000 function_base.py:419(_needs_add_docstring)
      616    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       38    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.000    0.000 path.py:4(Path)
      612    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      331    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      596    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1466(__init__)
      434    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       52    0.000    0.000    0.000    0.000 core.py:895(__init__)
      110    0.000    0.000    0.000    0.000 genetic_algo.py:51(get_elite_parents)
      610    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
      372    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       10    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       38    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      120    0.000    0.000    0.001    0.000 __init__.py:1626(get_region)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1585(<setcomp>)
      258    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:160(__exit__)
        2    0.000    0.000    0.038    0.019 __init__.py:122(_create)
      409    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      130    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
      391    0.000    0.000    0.001    0.000 __init__.py:649(__lt__)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
       90    0.000    0.000    0.000    0.000 _collections_abc.py:759(get)
       38    0.000    0.000    0.005    0.000 sre_parse.py:937(parse)
        6    0.000    0.000    0.000    0.000 runtime.py:636(create_subclass)
       40    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
       33    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
      176    0.000    0.000    0.001    0.000 dyld.py:99(dyld_default_search)
      603    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      338    0.000    0.000    0.000    0.000 path.py:17(add_border)
      384    0.000    0.000    0.000    0.000 __init__.py:708(format)
      192    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
      272    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
       12    0.000    0.000    0.000    0.000 datetime.py:492(__new__)
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1324(_path_hooks)
      274    0.000    0.000    0.000    0.000 function_base.py:437(_add_docstring)
      573    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       89    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7fca406159d0}
      306    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
      176    0.000    0.000    0.007    0.000 __init__.py:1398(__del__)
       32    0.000    0.000    0.001    0.000 runtime.py:1013(convert_method_arguments)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {built-in method posix.open}
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
        2    0.000    0.000    0.001    0.000 cocoa.py:57(__init__)
        1    0.000    0.000    0.000    0.000 extras.py:1(<module>)
        1    0.000    0.000    0.000    0.000 png.py:352(Writer)
      250    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
      110    0.000    0.000    0.001    0.000 genetic_algo.py:45(sort_networks_by_fitness)
        1    0.000    0.000    0.000    0.000 core.py:2708(MaskedArray)
        2    0.000    0.000    0.000    0.000 cocoa.py:232(__init__)
        6    0.000    0.000    0.000    0.000 numeric.py:2446(extend_all)
      226    0.000    0.000    0.000    0.000 util.py:49(<genexpr>)
       43    0.000    0.000    0.000    0.000 enum.py:88(__setitem__)
        2    0.000    0.000    0.003    0.001 function_base.py:1(<module>)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1011(__init__)
      152    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
        2    0.000    0.000    0.022    0.011 cocoa.py:166(match)
       82    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
    38/36    0.000    0.000    0.034    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
      365    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      316    0.000    0.000    0.000    0.000 overrides.py:124(array_function_dispatch)
        1    0.000    0.000    0.000    0.000 utils.py:74(__call__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:361(_populate)
        1    0.000    0.000    0.000    0.000 pickle.py:1136(_Unpickler)
        5    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
       38    0.000    0.000    0.000    0.000 enum.py:953(__and__)
        1    0.000    0.000   57.779   57.779 main.py:1(<module>)
       96    0.000    0.000    0.000    0.000 posixpath.py:140(basename)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.000    0.000 selectors.py:342(_PollLikeSelector)
        2    0.000    0.000    0.157    0.079 __init__.py:511(__init__)
        1    0.000    0.000    0.013    0.013 __init__.py:32(<module>)
      250    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       77    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
    50/35    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       73    0.000    0.000    0.000    0.000 runtime.py:1129(method)
        1    0.000    0.000    0.019    0.019 Image.py:27(<module>)
      259    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.003    0.003 defchararray.py:1(<module>)
      299    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
      253    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
        1    0.000    0.000    0.017    0.017 multiarray.py:1(<module>)
      128    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
       16    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
        1    0.000    0.000    0.001    0.001 agl.py:36(<module>)
        1    0.000    0.000    0.003    0.003 fromnumeric.py:1(<module>)
       76    0.000    0.000    0.000    0.000 runtime.py:600(cfunctype_for_encoding)
       68    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
       12    0.000    0.000    0.002    0.000 __init__.py:477(_update_draw_list)
      138    0.000    0.000    0.000    0.000 os.py:754(encode)
       27    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       81    0.000    0.000    0.001    0.000 enum.py:334(__call__)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.004    0.004 hmac.py:1(<module>)
        2    0.000    0.000    0.005    0.003 shape_base.py:1(<module>)
       50    0.000    0.000    0.000    0.000 _internal.py:781(_ufunc_doc_signature_formatter)
       38    0.000    0.000    0.003    0.000 sre_compile.py:598(_code)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1597(path_hook_for_FileFinder)
       76    0.000    0.000    0.001    0.000 runtime.py:1105(add_method)
       58    0.000    0.000    0.000    0.000 enum.py:438(__setattr__)
       36    0.000    0.000    0.000    0.000 vertexdomain.py:78(_nearest_pow2)
       38    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      235    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 linalg.py:477(inv)
      231    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       42    0.000    0.000    0.000    0.000 lib_agl.py:61(link_AGL)
       73    0.000    0.000    0.001    0.000 runtime.py:1136(decorator)
        2    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.000    0.000 ctypeslib.py:368(<dictcomp>)
        1    0.000    0.000    0.000    0.000 tokenize.py:388(open)
       73    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.003    0.003 __init__.py:17(<module>)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
       24    0.000    0.000    0.000    0.000 __init__.py:754(__init__)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
      200    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        3    0.000    0.000    0.000    0.000 enum.py:221(<setcomp>)
        1    0.000    0.000    0.001    0.001 polynomial.py:429(polyfit)
        2    0.000    0.000    0.002    0.001 polynomial.py:1(<module>)
        1    0.000    0.000    0.004    0.004 linalg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 function_base.py:23(linspace)
        1    0.000    0.000    0.004    0.004 ElementTree.py:1(<module>)
      523    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 glu_info.py:36(<module>)
      105    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
    27/13    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.FileIO' objects}
    38/28    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1179(exec_module)
      329    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 lock.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      192    0.000    0.000    0.000    0.000 vertexdomain.py:321(_is_empty)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:153(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 random.py:126(seed)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:114(_add_aliases)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
        4    0.000    0.000    0.002    0.000 pyglet_view.py:136(updateTrackingAreas)
        1    0.000    0.000    0.005    0.005 npyio.py:1(<module>)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6709(add_newdoc_for_scalar_type)
       78    0.000    0.000    0.000    0.000 enum.py:646(__new__)
       32    0.000    0.000    0.001    0.000 abc.py:84(__new__)
      108    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1472(<genexpr>)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7fca30340e50}
        3    0.000    0.000    0.000    0.000 __init__.py:481(_mouse_in_content_rect)
       26    0.000    0.000    0.000    0.000 core.py:6755(getdoc)
       16    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       68    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       30    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
      107    0.000    0.000    0.001    0.000 re.py:188(match)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:78(bitname)
        1    0.000    0.000    0.000    0.000 base.py:268(has_exit)
        2    0.000    0.000    0.000    0.000 cocoa.py:127(__init__)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
      244    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
        9    0.000    0.000    0.012    0.001 __init__.py:340(__init__)
       90    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
        1    0.000    0.000    0.009    0.009 index_tricks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bmp.py:36(<module>)
      132    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
        8    0.000    0.000    0.002    0.000 util.py:72(find_library)
      152    0.000    0.000    0.000    0.000 dyld.py:12(_dyld_shared_cache_contains_path)
        3    0.000    0.000    0.000    0.000 enum.py:521(<listcomp>)
      192    0.000    0.000    0.000    0.000 __init__.py:493(<lambda>)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        9    0.000    0.000    0.001    0.000 cocoalibs.py:46(CFSTR)
        2    0.000    0.000    0.000    0.000 __init__.py:240(_center_window)
       13    0.000    0.000    0.001    0.000 path.py:5(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       77    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:350(__init__)
        1    0.000    0.000    0.000    0.000 _methods.py:1(<module>)
       38    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
       44    0.000    0.000    0.000    0.000 core.py:138(get_object_signature)
        1    0.000    0.000    0.001    0.001 type_check.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quartzkey.py:36(<module>)
       70    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
        2    0.000    0.000    0.000    0.000 core.py:2975(__array_finalize__)
        1    0.000    0.000    0.000    0.000 __init__.py:231(_sanity_check)
      216    0.000    0.000    0.000    0.000 __init__.py:634(visible)
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1036(get_filename)
      368    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       64    0.000    0.000    0.000    0.000 dyld.py:36(dyld_env)
       32    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
       43    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
        1    0.000    0.000    0.000    0.000 cocoatypes.py:1(<module>)
        1    0.000    0.000    0.003    0.003 pathlib.py:1(<module>)
        5    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.004    0.004 subprocess.py:10(<module>)
       76    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
        2    0.000    0.000    0.008    0.004 cocoa.py:58(add_menu_item)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pickle.py:197(<listcomp>)
        1    0.000    0.000    0.001    0.001 dyld.py:1(<module>)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:846(create_module)
       88    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       48    0.000    0.000    0.000    0.000 framework.py:19(framework_info)
        1    0.000    0.000    0.000    0.000 __init__.py:273(set)
        1    0.000    0.000    0.017    0.017 cocoa.py:73(create_menu)
        2    0.000    0.000    0.005    0.002 pyglet_view.py:97(initWithFrame_cocoaWindow_)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method posix.uname}
        3    0.000    0.000    0.001    0.000 enum.py:451(_create_)
        1    0.000    0.000    0.049    0.049 cocoa.py:97(__init__)
        1    0.000    0.000    0.001    0.001 png.py:33(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
        1    0.000    0.000    0.017    0.017 game.py:6(__init__)
        1    0.000    0.000    0.017    0.017 cocoa.py:117(start)
       15    0.000    0.000    0.000    0.000 arrayprint.py:461(wrapper)
       30    0.000    0.000    0.000    0.000 getlimits.py:25(_fr1)
        1    0.000    0.000    0.017    0.017 cocoa.py:35(<module>)
       13    0.000    0.000    0.000    0.000 __init__.py:983(width)
       40    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        6    0.000    0.000    0.000    0.000 threading.py:228(__init__)
       25    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.001    0.001 nanfunctions.py:1(<module>)
        2    0.000    0.000    0.005    0.003 cocoa.py:291(attach)
        1    0.000    0.000    0.000    0.000 zipfile.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:17(_fr0)
        1    0.000    0.000    0.011    0.011 _internal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 model.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
       24    0.000    0.000    0.000    0.000 dyld.py:75(dyld_override_search)
        5    0.000    0.000    0.000    0.000 util.py:167(add_decoders)
        1    0.000    0.000    0.001    0.001 pyglet_textview.py:49(PygletTextView_Implementation)
       26    0.000    0.000    0.000    0.000 core.py:922(__init__)
        7    0.000    0.000    0.000    0.000 getlimits.py:498(__init__)
        1    0.000    0.000    0.014    0.014 cocoa.py:37(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
        1    0.000    0.000    0.000    0.000 __init__.py:199(_read_environment)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
       88    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.001    0.001 pyglet_view.py:94(PygletView_Implementation)
       30    0.000    0.000    0.000    0.000 types.py:171(__get__)
      105    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
       78    0.000    0.000    0.000    0.000 overrides.py:105(decorator)
        2    0.000    0.000    0.002    0.001 pyglet_textview.py:52(initWithCocoaWindow_)
        3    0.000    0.000    0.002    0.001 base.py:36(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
        1    0.000    0.000    0.007    0.007 platform.py:3(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
       43    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:176(_legacy_setup)
        2    0.000    0.000    0.000    0.000 cocoalibs.py:59(cfstring_to_string)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
      256    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        7    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       30    0.000    0.000    0.000    0.000 _type_aliases.py:231(_add_array_type)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1473(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
        1    0.000    0.000    0.002    0.002 financial.py:1(<module>)
        2    0.000    0.000    0.001    0.000 pyglet_delegate.py:51(initWithWindow_)
        6    0.000    0.000    0.000    0.000 runtime.py:1092(register)
       34    0.000    0.000    0.008    0.000 re.py:250(compile)
       59    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:412(_construct_lookups)
       23    0.000    0.000    0.001    0.000 overrides.py:206(decorator)
        1    0.000    0.000    0.001    0.001 queue.py:1(<module>)
        1    0.000    0.000    0.001    0.001 hashlib.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:17(ABCPolyBase)
        1    0.000    0.000    0.000    0.000 getlimits.py:399(_init)
        1    0.000    0.000    0.014    0.014 _pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:503(Image)
        1    0.000    0.000    0.008    0.008 lib_agl.py:36(<module>)
        1    0.000    0.000    0.000    0.000 warnings.py:35(_formatwarnmsg_impl)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:65(_bits_of)
       80    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        1    0.000    0.000    0.000    0.000 ntpath.py:2(<module>)
       18    0.000    0.000    0.000    0.000 core.py:998(__init__)
        2    0.000    0.000    0.000    0.000 util.py:92(__new__)
        1    0.000    0.000    0.008    0.008 secrets.py:1(<module>)
      104    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       78    0.000    0.000    0.000    0.000 overrides.py:94(set_module)
        1    0.000    0.000    0.000    0.000 sprite.py:174(Sprite)
        5    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
        1    0.000    0.000    0.030    0.030 __init__.py:146(add_default_image_codecs)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_write_atomic)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
       84    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       43    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
        1    0.000    0.000    0.000    0.000 runtime.py:660(add_ivar)
        2    0.000    0.000    0.000    0.000 clock.py:503(schedule_interval)
        1    0.000    0.000    0.002    0.002 api.py:1(<module>)
       78    0.000    0.000    0.000    0.000 _internal.py:792(<genexpr>)
       30    0.000    0.000    0.000    0.000 getlimits.py:40(<lambda>)
       64    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1160(__init__)
        1    0.000    0.000    0.000    0.000 _iotools.py:450(StringConverter)
       36    0.000    0.000    0.000    0.000 _add_newdocs.py:6715(<genexpr>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       24    0.000    0.000    0.000    0.000 dyld.py:44(dyld_image_suffix)
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 quartz.py:36(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:132(geterr)
        1    0.000    0.000    0.000    0.000 __init__.py:361(BaseWindow)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 __init__.py:645(ImageData)
        3    0.000    0.000    0.001    0.000 enum.py:504(_convert_)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:67(<genexpr>)
       37    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        3    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
       59    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.008    0.008 lib.py:36(<module>)
        2    0.000    0.000    0.000    0.000 event.py:36(<module>)
        2    0.000    0.000    0.000    0.000 clock.py:135(__init__)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:133(_get_indent)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        1    0.000    0.000    0.007    0.007 py3k.py:1(<module>)
       57    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_types)
        5    0.000    0.000    0.000    0.000 __init__.py:66(add_decoders)
       16    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
        1    0.000    0.000    0.025    0.025 cocoa.py:36(<module>)
        1    0.000    0.000    0.000    0.000 polynomial.py:665(polyval)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
      125    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        5    0.000    0.000    0.000    0.000 weakref.py:105(__init__)
       36    0.000    0.000    0.000    0.000 allocation.py:121(set_capacity)
        4    0.000    0.000    0.000    0.000 base.py:119(__init__)
       26    0.000    0.000    0.000    0.000 core.py:6750(__init__)
       57    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:643(PurePath)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 gl_info.py:36(<module>)
        1    0.000    0.000    0.000    0.000 pyglet_delegate.py:48(PygletDelegate_Implementation)
        1    0.000    0.000    0.000    0.000 __init__.py:328(dispatch_pending_events)
        1    0.000    0.000    0.016    0.016 overrides.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:6439(__new__)
        1    0.000    0.000    0.004    0.004 lib.py:35(<module>)
        1    0.000    0.000    0.000    0.000 enum.py:993(_decompose)
        5    0.000    0.000    0.000    0.000 util.py:179(add_encoders)
        2    0.000    0.000    0.000    0.000 __init__.py:226(_set_nice_window_location)
        1    0.000    0.000    0.001    0.001 histograms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 warnings.py:403(__init__)
        1    0.000    0.000    0.002    0.002 png.py:36(<module>)
        8    0.000    0.000    0.000    0.000 sre_parse.py:861(_parse_flags)
        8    0.000    0.000    0.012    0.001 __init__.py:451(LoadLibrary)
        9    0.000    0.000    0.000    0.000 enum.py:558(_find_data_type)
        1    0.000    0.000    0.000    0.000 linecache.py:80(updatecache)
       13    0.000    0.000    0.000    0.000 __init__.py:995(height)
        2    0.000    0.000    0.004    0.002 cocoa.py:266(create_context)
